UF,Acumulados,Casos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AP,21840,25823.81,266,5328,8795
AM,63410,15299.44,508,6904,14141
RR,8120,13404.63,83,1245,2882
AC,11381,12904.58,118,1739,3398
DF,33227,11019.58,992,10356,16604
CE,92866,10169.21,469,16033,28595
PA,86020,9998.99,1366,16796,31222
MA,70059,9902.08,386,10209,22466
PB,36784,9154.51,263,8771,16474
ES,34866,8676.05,628,8397,15247
AL,28657,8586.73,959,6458,12951
RO,15181,8541.97,229,3316,7071
SE,18985,8259.03,536,5017,9694
RJ,96133,5568.1,596,16561,28377
RN,19290,5500.66,84,5119,9841
PE,52113,5452.82,995,6852,11871
TO,8354,5311.32,151,1382,2710
SP,219185,4773.29,3392,40983,76112
PI,14476,4422.55,663,4119,6855
BA,46279,3111.6,975,9878,18029
MT,9776,2805.59,1051,3668,5988
SC,17582,2453.95,474,4222,6017
GO,15887,2263.64,469,7927,10074
MS,5237,1884.5,247,1804,2984
RS,19348,1700.59,210,4687,7212
MG,27641,1305.74,336,6260,11929
PR,14336,1253.81,674,4753,7439
