UF,Acumulados,Óbitos por  milhão de hab.,Notificados últimas 24h,Últimos 7 dias,Últimos 14 dias
AM,2271,547.94,0,169,419
CE,4287,469.44,167,866,1684
PA,379,440.55,18,750,1321
RJ,6928,401.28,147,1242,2567
PE,335,350.53,0,417,1022
AP,285,336.99,7,48,112
RR,145,239.37,0,25,43
AC,211,239.25,0,46,106
ES,904,224.95,33,240,417
SP,9522,207.36,334,1528,3099
AL,619,185.48,18,137,265
MA,1247,176.25,0,250,430
RO,245,137.86,0,73,112
RN,459,130.89,28,118,239
PB,507,126.18,0,128,221
SE,234,101.80,0,62,118
PI,254,77.60,0,74,135
DF,224,74.29,10,47,100
TO,114,72.48,6,35,50
BA,937,63.00,27,201,442
MT,116,33.29,0,46,73
RS,302,26.54,11,57,99
GO,180,25.65,7,29,76
SC,173,24.15,2,25,52
PR,253,22.13,10,54,94
MG,399,18.85,19,110,165
MS,22,7.92,0,2,5
